0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.04583964,-0.04197784,0.0050033173,-0.05596906,-0.0804226,-0.0041265255,0.0077792713,-0.07061348,0.0035162352,-0.18086821,-0.042551257,-0.005125303,-0.081171036,0.0040367064,-0.021322487,-0.051376753,-0.031048425,0.08440828,-0.0049647875,0.06873264,-0.019075602,0.016200824,0.06170884,-0.006972089,-0.08781163,0.0055604195,-0.0549785,-0.1082687,-0.0024000597,0.06975799,-0.11962998,-0.04568576
0.03641403,-0.039631326,-0.015601571,-0.0024888779,0.0011247157,-0.0030022252,0.0420886,0.020173196,0.016308002,-0.15309025,-0.02602643,-0.0400768,0.02183348,-0.06305413,-0.020773763,-0.1139012,-0.047927316,0.036959555,0.014145766,-0.07727551,0.035208814,0.029338313,-0.05516468,-0.020094909,-0.023389721,0.051433578,0.058104858,-0.10119712,-0.07128985,-0.04635384,-0.044225458,-0.040200967
-0.077991605,0.036807016,-0.11175222,0.0044775023,0.049759638,-0.0035513588,-0.081015676,0.0062330975,0.005411493,-0.08653584,-0.080396004,0.026761835,-0.02033233,-0.079593465,-0.054958124,-0.017981114,-0.010408742,0.06084275,0.052369796,-0.02583668,-0.09880898,0.02957362,-0.008936502,0.0638271,-0.030019045,0.038467888,-0.022572657,0.04184707,-0.058026627,0.00937888,-0.03139682,0.060089312
0.055588882,-0.046502404,-0.05294917,0.053641327,0.051989205,0.02357207,-0.05926583,-0.0617037,0.023488129,-0.12494166,-0.067756236,-0.052041195,-0.050338116,0.0025201158,0.068879694,-0.08068383,-0.09705258,-0.020558745,-0.005951905,-0.0351419,-0.071814924,0.037435394,-0.06666181,0.089540616,-0.06842747,0.020569274,0.061506025,-0.00034128875,0.08031658,0.06697669,-0.08903942,-0.13073772
-0.025358476,-0.05212573,0.017628014,-0.030721718,-0.017849715,0.031199,-0.076345846,-0.061131727,0.00020750027,-0.19017248,-0.055683754,-0.034934707,-0.005178389,0.056005817,0.07149919,-0.15230125,0.074769184,-0.043371607,-0.00065998675,0.033699926,0.05655343,-0.07550005,-0.04529698,0.105212994,0.0058722887,-0.0042613065,-0.0095794,0.05657142,-0.0038049002,-0.06643786,0.028703947,-0.12946591
-0.02776774,-0.0986933,-0.10099761,-0.0072140796,0.052036423,0.009938131,0.037755508,0.01603787,-0.010706281,-0.13141084,-0.11211517,0.0015811771,0.02003223,-0.0702244,0.0518989,-0.123287044,-0.07748119,-0.067101315,0.06454755,-0.057175424,-0.0044398163,-0.05730285,-0.024605695,0.09275895,-0.065917395,-0.10054689,-0.04617276,0.059797306,-0.003199246,0.0020604327,0.07775958,-0.08666289
-0.08375703,0.031642474,-0.078249425,0.028216971,-0.085665144,-0.07169202,-0.045700964,-0.047972213,-0.046768952,-0.06401522,0.025181612,0.022143709,0.03545966,0.036618028,-0.08528423,-0.11960721,0.0696389,-0.02333481,-0.0595276,0.053185247,-0.10424372,0.011957726,-0.071247056,0.10425439,0.006205431,-0.010150087,-0.018140731,-0.09008492,0.024109121,-0.03267439,-0.041656923,-0.0626942
0.003300236,-0.002010347,-0.12326564,-0.046377163,-0.06792652,-0.07052905,-0.058937296,-0.059380315,-0.004768698,-0.14539075,0.026616009,-0.06105342,0.0032151714,0.041756313,-0.054044027,-0.12219214,0.021573126,-0.020914506,0.06357684,0.008004653,-0.05589507,-0.021872945,-0.0025738776,0.020033976,-0.005310025,-0.02572136,-0.031720046,-0.016813848,-0.10524805,0.027197309,-0.0071772616,0.01163646
0.039534617,-0.07253169,-0.05956663,0.015981883,-0.07837378,-0.08123225,-0.076238185,0.024214692,-0.06863318,-0.1005909,-0.10379905,-0.044830196,-0.028051311,-0.076943375,-0.00028673554,-0.0616048,0.087270744,0.0070653697,-0.0016937187,0.0017015656,-0.062308695,0.023301594,-0.02921136,0.13030043,-0.017915053,-0.07913314,-0.0034565893,0.035639677,-0.06457628,-0.061518367,0.00233329,0.1076551
0.013587013,0.008018328,-0.06566822,0.030391889,-0.03775613,-0.006148316,-0.048049323,-0.059313316,0.022609841,-0.040797137,-0.033868775,-0.07284427,-0.047165036,-0.067706935,-0.045704883,0.07489429,0.07566226,-0.117652245,0.02211193,-0.0681787,0.06677891,-0.053503107,0.049367566,-0.028436726,0.04915497,-0.08397816,-0.03636801,0.0094206985,0.013820093,-0.052076135,-0.0090380665,0.05056881
